#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	249250621	7175788	210046008	84.271	4.23093	35.7	56.3
chr2	1	243199373	7652494	222354605	91.4289	4.58965	35.7	55.5
chr3	1	198022430	5875672	181228643	91.5193	4.36939	35.7	58.5
chr4	1	191154276	5880739	173035570	90.5214	4.4339	35.7	54.8
chr5	1	180915260	5324314	164684456	91.0285	4.33333	35.7	57.6
chr6	1	171115067	4976257	153103811	89.4742	4.28235	35.7	58.1
chr7	1	159138663	4733831	143681063	90.2867	4.36254	35.7	55.6
chr8	1	146364022	4486107	132975329	90.8525	4.49138	35.7	56.3
chr9	1	141213431	3775671	111258441	78.7874	3.92726	35.7	53.2
chr10	1	135534747	4353643	122007839	90.0196	4.63269	35.7	54
chr11	1	135006516	4080670	122069798	90.4177	4.44122	35.7	56.6
chr12	1	133851895	3987094	121517894	90.7853	4.37505	35.7	58.1
chr13	1	115169878	2793818	88353679	76.716	3.57405	35.7	58.8
chr14	1	107349540	2704061	82279791	76.6466	3.70556	35.7	57.6
chr15	1	102531392	2627708	76765849	74.8706	3.77047	35.7	55.9
chr16	1	90354753	2872271	74406831	82.3497	4.63671	35.7	52
chr17	1	81195210	2528788	72817448	89.682	4.55257	35.7	54.4
chr18	1	78077248	2345924	69369099	88.8468	4.4126	35.7	57.1
chr19	1	59128983	1795710	51560404	87.1999	4.42728	35.7	55.3
chr20	1	63025520	1976750	56188026	89.1512	4.58575	35.7	57.7
chr21	1	48129895	1202253	32520956	67.5691	3.57259	35.7	52.9
chr22	1	51304566	1184887	32959274	64.2424	3.38827	35.7	55.6
chrX	1	155270560	2181447	106661992	68.6943	2.05786	35.7	47.4
chrY	1	59373566	758836	19456461	32.7696	1.67955	35.5	22.2
chrM	1	16569	574	16200	97.7729	4.67059	35.3	50.1
GL877870.2	1	66021	1449	51998	78.7598	3.22537	35.6	0
GL877872.1	1	297485	16039	204548	68.7591	7.6666	35.8	0.363
GL383535.1	1	429806	8490	354763	82.5403	2.86859	35.7	4.94
JH159133.1	1	266316	4167	203095	76.2609	2.30783	35.7	0.123
KB663606.1	1	305900	5794	246569	80.6044	2.78492	35.6	7.61
KB021647.1	1	1058686	7501	474091	44.7811	1.0327	35.6	4.79
KE332497.1	1	543325	8497	408515	75.188	2.307	35.6	0.636
JH159131.1	1	393769	6799	309960	78.7162	2.5457	35.6	1.39
GL949745.1	1	372609	3862	218915	58.7519	1.52909	35.7	2.03
JH720447.1	1	454385	2179	128773	28.3401	0.694629	35.6	0.0124
GL582968.1	1	356330	6531	284754	79.913	2.6869	35.6	3.25
JH720446.1	1	97345	1716	77656	79.774	2.59792	35.8	0.0763
JH591181.2	1	2281126	42131	1749979	76.7156	2.72276	35.7	2.55
JH720443.2	1	408430	7522	333266	81.5968	2.69346	35.5	0.361
JH159134.2	1	3821770	67451	3011866	78.8081	2.58104	35.6	1.11
JH636052.4	1	7283150	444898	6118254	84.0056	8.90967	35.5	6.41
JH636053.3	1	1676126	36897	1373275	81.9315	3.24169	35.6	8.96
JH636054.1	1	758378	14679	618227	81.5196	2.85065	35.7	2.38
JH636056.1	1	262912	4722	212162	80.697	2.64417	35.7	0.0358
JH636058.1	1	716227	12255	535791	74.8074	2.50911	35.6	5.74
JH636057.1	1	200195	417	31313	15.6412	0.30772	35.5	0
KE332505.1	1	579598	11198	477858	82.4465	2.83096	35.7	6.24
JH720451.1	1	898979	7455	475947	52.9431	1.22245	35.7	0.786
JH720452.1	1	522319	4682	291054	55.7234	1.32396	35.6	0.343
JH720453.1	1	1461188	14100	846303	57.9188	1.42002	35.6	7.02
JH720454.3	1	752267	6176	404558	53.7785	1.19931	35.5	1.23
JH159136.1	1	200998	3084	149964	74.6097	2.26102	35.7	4.81
JH806587.1	1	4110759	36406	2268900	55.1942	1.30117	35.6	0.553
JH806588.1	1	862483	6538	421387	48.8574	1.1102	35.6	1.76
JH806589.1	1	270630	2411	150525	55.6202	1.30993	35.6	2.91
