bin	chromosome	arm	start	end	gc
1	chr1	1p	700000	5999999	0.5329544
2	chr1	1p	6000000	10999999	0.484316
3	chr1	1p	11000000	16699999	0.4753144
4	chr1	1p	16700000	21799999	0.4819846
5	chr1	1p	21800000	26799999	0.4801814
6	chr1	1p	26800000	32099999	0.4730168
7	chr1	1p	32100000	37099999	0.4578944
8	chr1	1p	37100000	42099999	0.4607926
9	chr1	1p	42100000	47099999	0.4525478
10	chr1	1p	47100000	52099999	0.4134262
11	chr1	1p	52100000	57099999	0.4402902
12	chr1	1p	57100000	62099999	0.4021984
13	chr1	1p	62100000	67099999	0.3997166
14	chr1	1p	67100000	72099999	0.3802372
15	chr1	1p	72100000	77099999	0.3631008
16	chr1	1p	77100000	82099999	0.3687636
17	chr1	1p	82100000	87299999	0.3784724
18	chr1	1p	87300000	92299999	0.390927
19	chr1	1p	92300000	97299999	0.3959086
20	chr1	1p	97300000	102299999	0.3703518
21	chr1	1p	102300000	107599999	0.3491776
22	chr1	1p	107600000	112699999	0.4229212
23	chr1	1p	112700000	117699999	0.4170812
24	chr1	1q	243900000	249199999	0.4163492
25	chr1	1q	238900000	243899999	0.3934192
26	chr1	1q	233700000	238899999	0.4097918
27	chr1	1q	228700000	233699999	0.4307066
28	chr1	1q	223500000	228699999	0.4437348
29	chr1	1q	218500000	223499999	0.3966322
30	chr1	1q	213500000	218499999	0.3836332
31	chr1	1q	208500000	213499999	0.4166384
32	chr1	1q	203100000	208499999	0.4529074
33	chr1	1q	198100000	203099999	0.421773
34	chr1	1q	193100000	198099999	0.352654
35	chr1	1q	188100000	193099999	0.3454232
36	chr1	1q	183100000	188099999	0.3812986
37	chr1	1q	178100000	183099999	0.414032
38	chr1	1q	173100000	178099999	0.401926
39	chr1	1q	168100000	173099999	0.3880336
40	chr1	1q	163100000	168099999	0.4032384
41	chr1	1q	158100000	163099999	0.4173082
42	chr1	1q	153100000	158099999	0.466621
43	chr1	1q	145400000	153099999	0.4321424
44	chr2	2p	100000	5399999	0.4381574
45	chr2	2p	5400000	10399999	0.427153
46	chr2	2p	10400000	15399999	0.4095116
47	chr2	2p	15400000	20599999	0.407802
48	chr2	2p	20600000	25699999	0.4190508
49	chr2	2p	25700000	30699999	0.4436986
50	chr2	2p	30700000	35699999	0.3959064
51	chr2	2p	35700000	40699999	0.3966936
52	chr2	2p	40700000	45699999	0.4097996
53	chr2	2p	45700000	50699999	0.41096
54	chr2	2p	50700000	55699999	0.37626
55	chr2	2p	55700000	60699999	0.3771414
56	chr2	2p	60700000	65699999	0.410202
57	chr2	2p	65700000	70699999	0.405673
58	chr2	2p	70700000	75699999	0.4346184
59	chr2	2p	75700000	80699999	0.3685362
60	chr2	2p	80700000	85699999	0.3763904
61	chr2	2q	237800000	243099999	0.4929006
62	chr2	2q	232700000	237799999	0.4540984
63	chr2	2q	227700000	232699999	0.4147262
64	chr2	2q	222700000	227699999	0.3932926
65	chr2	2q	217700000	222699999	0.4354956
66	chr2	2q	212700000	217699999	0.3807504
67	chr2	2q	207700000	212699999	0.379251
68	chr2	2q	202700000	207699999	0.4037638
69	chr2	2q	197700000	202699999	0.3916244
70	chr2	2q	192700000	197699999	0.3579788
71	chr2	2q	187700000	192699999	0.3715132
72	chr2	2q	182700000	187699999	0.3579734
73	chr2	2q	177700000	182699999	0.3771328
74	chr2	2q	172700000	177699999	0.4041836
75	chr2	2q	167700000	172699999	0.3913186
76	chr2	2q	162700000	167699999	0.3613612
77	chr2	2q	157700000	162699999	0.3859576
78	chr2	2q	152700000	157699999	0.3687626
79	chr2	2q	147500000	152699999	0.3834382
80	chr2	2q	142500000	147499999	0.3618728
81	chr2	2q	137500000	142499999	0.364287
82	chr2	2q	132500000	137499999	0.4073432
83	chr2	2q	127200000	132499999	0.4470408
84	chr2	2q	122200000	127199999	0.3825174
85	chr2	2q	117200000	122199999	0.4280634
86	chr2	2q	111800000	117199999	0.4019618
87	chr2	2q	105800000	111799999	0.420344
88	chr2	2q	100800000	105799999	0.4057354
89	chr2	2q	95600000	100799999	0.4371918
90	chr3	3p	100000	5099999	0.384618
91	chr3	3p	5100000	10099999	0.407985
92	chr3	3p	10100000	15099999	0.4690632
93	chr3	3p	15100000	20099999	0.3926768
94	chr3	3p	20100000	25099999	0.3785488
95	chr3	3p	25100000	30099999	0.3799834
96	chr3	3p	30100000	35099999	0.3996918
97	chr3	3p	35100000	40099999	0.4090382
98	chr3	3p	40100000	45099999	0.4237572
99	chr3	3p	45100000	50099999	0.4643282
100	chr3	3p	50100000	55099999	0.4594692
101	chr3	3p	55100000	60099999	0.4150506
102	chr3	3p	60100000	65099999	0.3974926
103	chr3	3p	65100000	70299999	0.3964784
104	chr3	3p	70300000	75299999	0.4021542
105	chr3	3p	75300000	80499999	0.36267
106	chr3	3p	80500000	85499999	0.3487154
107	chr3	3p	85500000	90499999	0.355986
108	chr3	3q	192800000	197899999	0.4439208
109	chr3	3q	187800000	192799999	0.3800702
110	chr3	3q	182800000	187799999	0.4351428
111	chr3	3q	177800000	182799999	0.3832914
112	chr3	3q	172800000	177799999	0.3676882
113	chr3	3q	167800000	172799999	0.38882
114	chr3	3q	162800000	167799999	0.3507958
115	chr3	3q	157800000	162799999	0.3773774
116	chr3	3q	152800000	157799999	0.3855294
117	chr3	3q	147800000	152799999	0.382299
118	chr3	3q	142800000	147799999	0.3645116
119	chr3	3q	137800000	142799999	0.415475
120	chr3	3q	132800000	137799999	0.4167964
121	chr3	3q	127800000	132799999	0.4247992
122	chr3	3q	122800000	127799999	0.4532578
123	chr3	3q	117800000	122799999	0.3964268
124	chr3	3q	112800000	117799999	0.3785206
125	chr3	3q	107800000	112799999	0.3792504
126	chr3	3q	102800000	107799999	0.362486
127	chr3	3q	97800000	102799999	0.3801608
128	chr4	4p	100000	5199999	0.496618
129	chr4	4p	5200000	10599999	0.485553
130	chr4	4p	10600000	15599999	0.3893744
131	chr4	4p	15600000	20599999	0.3873484
132	chr4	4p	20600000	25599999	0.3919578
133	chr4	4p	25600000	30599999	0.3729986
134	chr4	4p	30600000	35799999	0.3485906
135	chr4	4p	35800000	40899999	0.4024456
136	chr4	4p	40900000	45899999	0.3759708
137	chr4	4q	185900000	190899999	0.4049878
138	chr4	4q	180900000	185899999	0.4010826
139	chr4	4q	175900000	180899999	0.361398
140	chr4	4q	170900000	175899999	0.3679006
141	chr4	4q	165900000	170899999	0.3747496
142	chr4	4q	160900000	165899999	0.357529
143	chr4	4q	155900000	160899999	0.3708734
144	chr4	4q	150900000	155899999	0.3978962
145	chr4	4q	145900000	150899999	0.3831502
146	chr4	4q	140900000	145899999	0.379275
147	chr4	4q	135900000	140899999	0.3690108
148	chr4	4q	130900000	135899999	0.3481354
149	chr4	4q	125900000	130899999	0.3692946
150	chr4	4q	120900000	125899999	0.373222
151	chr4	4q	115900000	120899999	0.359099
152	chr4	4q	110900000	115899999	0.373041
153	chr4	4q	105900000	110899999	0.3790224
154	chr4	4q	100900000	105899999	0.367523
155	chr4	4q	95900000	100899999	0.3703514
156	chr4	4q	90900000	95899999	0.3571764
157	chr4	4q	85900000	90899999	0.3831028
158	chr4	4q	80900000	85899999	0.388053
159	chr4	4q	75900000	80899999	0.3928244
160	chr4	4q	70800000	75899999	0.3740838
161	chr4	4q	65700000	70799999	0.3573334
162	chr4	4q	60700000	65699999	0.3496064
163	chr4	4q	55600000	60699999	0.3828296
164	chr5	5p	100000	5099999	0.467978
165	chr5	5p	5100000	10099999	0.4112686
166	chr5	5p	10100000	15099999	0.3999834
167	chr5	5p	15100000	20199999	0.382255
168	chr5	5p	20200000	25299999	0.3534952
169	chr5	5p	25300000	30299999	0.3478996
170	chr5	5p	30300000	35399999	0.4019622
171	chr5	5p	35400000	40399999	0.3903758
172	chr5	5p	40400000	45399999	0.380864
173	chr5	5q	175500000	180699999	0.4812968
174	chr5	5q	170400000	175399999	0.4477036
175	chr5	5q	165400000	170399999	0.4154666
176	chr5	5q	160400000	165399999	0.3645358
177	chr5	5q	155400000	160399999	0.4118728
178	chr5	5q	150300000	155399999	0.4133712
179	chr5	5q	145300000	150299999	0.4194138
180	chr5	5q	140300000	145299999	0.4076064
181	chr5	5q	135100000	140299999	0.43316
182	chr5	5q	130100000	135099999	0.4383138
183	chr5	5q	125100000	130099999	0.3779948
184	chr5	5q	120100000	125099999	0.3761022
185	chr5	5q	115100000	120099999	0.373182
186	chr5	5q	110100000	115099999	0.3877734
187	chr5	5q	105100000	110099999	0.3672304
188	chr5	5q	100100000	105099999	0.3548756
189	chr5	5q	95100000	100099999	0.3723994
190	chr5	5q	90000000	95099999	0.3681124
191	chr5	5q	85000000	89999999	0.3623462
192	chr5	5q	80000000	84999999	0.3702164
193	chr5	5q	75000000	79999999	0.4064502
194	chr5	5q	68200000	74999999	0.4059338
195	chr5	5q	63200000	68199999	0.386469
196	chr5	5q	58200000	63199999	0.3834358
197	chr5	5q	53200000	58199999	0.3985252
198	chr6	6p	200000	5199999	0.435833
199	chr6	6p	5200000	10199999	0.408088
200	chr6	6p	10200000	15199999	0.419943
201	chr6	6p	15200000	20199999	0.40873
202	chr6	6p	20200000	25199999	0.3937134
203	chr6	6p	25200000	30299999	0.4118516
204	chr6	6p	30300000	35299999	0.4714928
205	chr6	6p	35300000	40299999	0.4421788
206	chr6	6p	40300000	45299999	0.4592266
207	chr6	6p	45300000	50299999	0.3791686
208	chr6	6p	50300000	55299999	0.385657
209	chr6	6q	165600000	170999999	0.4475208
210	chr6	6q	160600000	165599999	0.4032516
211	chr6	6q	155400000	160599999	0.4238656
