bin	chromosome	arm	start	end	short	long	frag	ratio	ratio.center
1	chr1	1p	700000	5999999	9198	62355	71553	0.147510223719028	-4.92046148255765e-05
2	chr1	1p	6000000	10999999	9427	59700	69127	0.157906197654941	0.0103467693210877
3	chr1	1p	11000000	16699999	9069	61767	70836	0.146825975035213	-0.000733453298640746
4	chr1	1p	16700000	21799999	9939	67299	77238	0.147684215218651	0.00012478688479739
5	chr1	1p	21800000	26799999	9207	58608	67815	0.157094594594595	0.00953516626074088
6	chr1	1p	26800000	32099999	9180	58387	67567	0.157226779933889	0.00966735160003568
7	chr1	1p	32100000	37099999	9100	58236	67336	0.156260732193145	0.00870130385929141
8	chr1	1p	37100000	42099999	9152	59870	69022	0.152864539836312	0.0053051115024583
9	chr1	1p	42100000	47099999	9144	57435	66579	0.159206059023244	0.01164663068939
10	chr1	1p	47100000	52099999	8500	58735	67235	0.144717800289436	-0.00284162804441812
11	chr1	1p	52100000	57099999	8881	58734	67615	0.151207137262914	0.00364770892906044
12	chr1	1p	57100000	62099999	8269	58470	66739	0.141422951941166	-0.0061364763926873
13	chr1	1p	62100000	67099999	8264	56561	64825	0.146107742083768	-0.00145168625008574
14	chr1	1p	67100000	72099999	7753	54342	62095	0.142670494276986	-0.00488893405686722
15	chr1	1p	72100000	77099999	7496	51863	59359	0.144534639338257	-0.00302478899559716
16	chr1	1p	77100000	82099999	7524	51622	59146	0.145751811243268	-0.00180761709058533
17	chr1	1p	82100000	87299999	7854	54465	62319	0.144202698980997	-0.00335672935285675
18	chr1	1p	87300000	92299999	8096	55300	63396	0.146401446654611	-0.0011579816792425
19	chr1	1p	92300000	97299999	8084	55219	63303	0.146398884441949	-0.0011605438919044
20	chr1	1p	97300000	102299999	7563	52776	60339	0.143303774442929	-0.00425565389092511
21	chr1	1p	102300000	107599999	6963	47736	54699	0.145864756158874	-0.0016946721749799
22	chr1	1p	107600000	112699999	8380	55171	63551	0.151891392216926	0.00433196388307183
23	chr1	1p	112700000	117699999	8411	57036	65447	0.147468265656778	-9.11626770755403e-05
24	chr1	1q	243900000	249199999	8238	53887	62125	0.152875461614118	0.00531603328026473
25	chr1	1q	238900000	243899999	7669	53939	61608	0.142179128274532	-0.00538030005932139
26	chr1	1q	233700000	238899999	8405	56267	64672	0.149377077150017	0.00181764881616317
27	chr1	1q	228700000	233699999	8719	59170	67889	0.147355078587122	-0.000204349746731863
28	chr1	1q	223500000	228699999	8678	57944	66622	0.149765290625431	0.00220586229157774
29	chr1	1q	218500000	223499999	8044	56065	64109	0.143476322126104	-0.0040831062077501
30	chr1	1q	213500000	218499999	7595	54254	61849	0.139989678180411	-0.00756975015344305
31	chr1	1q	208500000	213499999	8581	57590	66171	0.149001562771314	0.00144213443746075
32	chr1	1q	203100000	208499999	8057	52063	60120	0.154754816280276	0.0071953879464221
33	chr1	1q	198100000	203099999	8017	53100	61117	0.150979284369115	0.00341985603526115
34	chr1	1q	193100000	198099999	7006	49520	56526	0.141478190630048	-0.00608123770380525
35	chr1	1q	188100000	193099999	7084	48268	55352	0.146763901549681	-0.000795526784172773
36	chr1	1q	183100000	188099999	7803	53319	61122	0.146345580374726	-0.00121384795912802
37	chr1	1q	178100000	183099999	8380	56294	64674	0.148861335133407	0.00130190679955305
38	chr1	1q	173100000	178099999	8273	55913	64186	0.14796201241214	0.000402584078286583
39	chr1	1q	168100000	173099999	8049	54336	62385	0.148133833922261	0.000574405588407767
40	chr1	1q	163100000	168099999	8260	57308	65568	0.144133454317024	-0.00342597401682992
41	chr1	1q	158100000	163099999	8344	54215	62559	0.15390574564235	0.00634631730849619
42	chr1	1q	153100000	158099999	8591	53837	62428	0.159574270483125	0.0120148421492713
43	chr1	1q	145400000	153099999	4954	31787	36741	0.155849875735364	0.0082904474015098
44	chr2	2p	100000	5399999	8475	59074	67549	0.143464129735586	-0.00409529859826785
45	chr2	2p	5400000	10399999	8373	57258	65631	0.146232840825736	-0.00132658750811757
46	chr2	2p	10400000	15399999	8023	56181	64204	0.142806286822947	-0.00475314151090644
47	chr2	2p	15400000	20599999	8404	58983	67387	0.142481732024482	-0.00507769630937208
48	chr2	2p	20600000	25699999	8527	57243	65770	0.148961445067519	0.00140201673366547
49	chr2	2p	25700000	30699999	8833	58777	67610	0.15027987137826	0.0027204430444065
50	chr2	2p	30700000	35699999	8013	54371	62384	0.147376358720642	-0.000183069613212183
51	chr2	2p	35700000	40699999	7792	53790	61582	0.144859639338167	-0.00269978899568676
52	chr2	2p	40700000	45699999	8271	56300	64571	0.146909413854352	-0.000650014479502026
53	chr2	2p	45700000	50699999	8384	56391	64775	0.148676207196184	0.00111677886233008
54	chr2	2p	50700000	55699999	7609	52005	59614	0.146312854533218	-0.00124657380063575
55	chr2	2p	55700000	60699999	7600	54825	62425	0.138622891016872	-0.00893653731698185
56	chr2	2p	60700000	65699999	8415	53637	62052	0.15688796912579	0.00932854079193632
57	chr2	2p	65700000	70699999	8115	55987	64102	0.144944362084055	-0.00261506624979849
58	chr2	2p	70700000	75699999	7718	51250	58968	0.15059512195122	0.0030356936173658
59	chr2	2p	75700000	80699999	7413	51512	58925	0.143908215561423	-0.00365121277243113
60	chr2	2p	80700000	85699999	7594	52642	60236	0.144257437027469	-0.00330199130638514
61	chr2	2q	237800000	243099999	9327	63351	72678	0.147227352370128	-0.000332075963725392
62	chr2	2q	232700000	237799999	8905	62196	71101	0.143176410058525	-0.00438301827532905
63	chr2	2q	227700000	232699999	8085	54956	63041	0.147117694155324	-0.000441734178529468
64	chr2	2q	222700000	227699999	8075	55185	63260	0.146325994382531	-0.00123343395132222
65	chr2	2q	217700000	222699999	8542	58818	67360	0.145227651399232	-0.00233177693462219
66	chr2	2q	212700000	217699999	7740	53611	61351	0.14437335621421	-0.00318607211964395
67	chr2	2q	207700000	212699999	7603	52717	60320	0.144222926190792	-0.00333650214306136
68	chr2	2q	202700000	207699999	8250	56614	64864	0.145723672589819	-0.00183575574403494
69	chr2	2q	197700000	202699999	8030	53171	61201	0.151022173741325	0.00346274540747143
70	chr2	2q	192700000	197699999	7163	50553	57716	0.141692876782782	-0.0058665515510713
71	chr2	2q	187700000	192699999	7533	52189	59722	0.144340761463144	-0.00321866687071015
72	chr2	2q	182700000	187699999	7283	50377	57660	0.144569942632551	-0.00298948570130314
73	chr2	2q	177700000	182699999	7696	53451	61147	0.143982338964659	-0.00357708936919449
74	chr2	2q	172700000	177699999	8077	55789	63866	0.14477764433849	-0.00278178399536405
75	chr2	2q	167700000	172699999	7889	53593	61482	0.147202059970519	-0.000357368363335164
76	chr2	2q	162700000	167699999	7247	51801	59048	0.13990077411633	-0.0076586542175239
77	chr2	2q	157700000	162699999	7833	53787	61620	0.145629984940599	-0.00192944339325468
78	chr2	2q	152700000	157699999	7190	51454	58644	0.139736463637424	-0.00782296469642998
79	chr2	2q	147500000	152699999	7652	53870	61522	0.142045665490997	-0.00551376284285687
80	chr2	2q	142500000	147499999	7659	51623	59282	0.148364101272689	0.000804672938834822
81	chr2	2q	137500000	142499999	7441	52054	59495	0.14294770814923	-0.00461172018462408
82	chr2	2q	132500000	137499999	8105	56591	64696	0.143220653460798	-0.00433877487305606
83	chr2	2q	127200000	132499999	8351	58627	66978	0.142442901734696	-0.00511652659915809
84	chr2	2q	122200000	127199999	7755	53564	61319	0.144780076170562	-0.00277935216329139
85	chr2	2q	117200000	122199999	8176	58708	66884	0.139265517476323	-0.00829391085753023
86	chr2	2q	111800000	117199999	8250	53599	61849	0.153920782104144	0.00636135377029001
87	chr2	2q	105800000	111799999	8860	58951	67811	0.150294312225408	0.00273488389155382
88	chr2	2q	100800000	105799999	8304	57025	65329	0.145620341955283	-0.00193908637857093
89	chr2	2q	95600000	100799999	8143	54904	63047	0.148313419787265	0.000753991453411318
90	chr3	3p	100000	5099999	7487	52200	59687	0.143429118773946	-0.00413030955990734
91	chr3	3p	5100000	10099999	8095	57256	65351	0.141382562526198	-0.00617686580765558
92	chr3	3p	10100000	15099999	8756	58312	67068	0.150157771985183	0.00259834365132944
93	chr3	3p	15100000	20099999	8085	55034	63119	0.14690918341389	-0.000650244919964127
94	chr3	3p	20100000	25099999	7750	54313	62063	0.14269143667262	-0.00486799166123389
95	chr3	3p	25100000	30099999	7630	53700	61330	0.142085661080074	-0.00547376725377924
96	chr3	3p	30100000	35099999	8326	55618	63944	0.149699737495056	0.00214030916120184
97	chr3	3p	35100000	40099999	8446	56756	65202	0.148812460356614	0.00125303202276056
98	chr3	3p	40100000	45099999	8632	57644	66276	0.149746721254597	0.00218729292074346
99	chr3	3p	45100000	50099999	8957	56397	65354	0.158820504636771	0.0112610763029178
100	chr3	3p	50100000	55099999	7831	52595	60426	0.14889248027379	0.00133305193993657
101	chr3	3p	55100000	60099999	8433	57156	65589	0.147543564980055	-1.58633537991337e-05
102	chr3	3p	60100000	65099999	7551	52721	60272	0.143225659604332	-0.00433376872952149
103	chr3	3p	65100000	70299999	8090	56946	65036	0.142064411898992	-0.00549501643486169
