CHR	TSS	Gene-Symbol	Category	Strand	TS_ID
chr1	69091	OR4F5	WGS	1	OR4F5
chr1	139379	AL627309.1	WGS	-1	AL627309.1
chr1	367640	OR4F29	negativeControl	1	OR4F29
chr1	622053	OR4F16	negativeControl	-1	OR4F16
chr1	739137	AL669831.1	WGS	-1	AL669831.1
chr1	818043	AL645608.2	WGS	1	AL645608.2
chr1	861118	SAMD11	WGS	1	SAMD11
chr1	866445	AL645608.1	WGS	-1	AL645608.1
chr1	894670	NOC2L	WGS	-1	NOC2L
chr1	895967	KLHL17	WGS	1	KLHL17
chr1	901877	PLEKHN1	WGS	1	PLEKHN1
chr1	917497	C1orf170	WGS	-1	C1orf170
chr1	935552	HES4	WGS	-1	HES4
chr1	948803	ISG15	WGS	1	ISG15
chr1	955503	AGRN	WGS	1	AGRN
chr1	1009687	RNF223	WGS	-1	RNF223
chr1	1051478	C1orf159	WGS	-1	C1orf159
chr1	1109283	TTLL10	WGS	1	TTLL10
chr1	1141951	TNFRSF18	WGS	-1	TNFRSF18
chr1	1149512	TNFRSF4	WGS	-1	TNFRSF4
chr1	1167381	SDF4	WGS	-1	SDF4
chr1	1167629	B3GALT6	WGS	1	B3GALT6
chr1	1182102	FAM132A	WGS	-1	FAM132A
chr1	1209213	UBE2J2	WGS	-1	UBE2J2
chr1	1215816	SCNN1D	WGS	1	SCNN1D
chr1	1243398	ACAP3	WGS	-1	ACAP3
chr1	1243947	PUSL1	WGS	1	PUSL1
chr1	1259989	CPSF3L	WGS	-1	CPSF3L
chr1	1260147	GLTPD1	WGS	1	GLTPD1
chr1	1266694	TAS1R3	WGS	1	TAS1R3
chr1	1284492	DVL1	WGS	-1	DVL1
chr1	1293915	MXRA8	WGS	-1	MXRA8
chr1	1310537	AURKAIP1	WGS	-1	AURKAIP1
chr1	1334692	CCNL2	WGS	-1	CCNL2
chr1	1334902	RP4-758J18.2	WGS	1	RP4-758J18.2
chr1	1342693	MRPL20	WGS	-1	MRPL20
chr1	1356650	ANKRD65	WGS	-1	ANKRD65
chr1	1361508	TMEM88B	WGS	1	TMEM88B
chr1	1371051	VWA1	WGS	1	VWA1
chr1	1385069	ATAD3C	WGS	1	ATAD3C
chr1	1407149	ATAD3B	WGS	1	ATAD3B
chr1	1447555	ATAD3A	WGS	1	ATAD3A
chr1	1475737	TMEM240	WGS	-1	TMEM240
chr1	1510249	SSU72	WGS	-1	SSU72
chr1	1510355	AL645728.1	WGS	1	AL645728.1
chr1	1535476	C1orf233	WGS	-1	C1orf233
chr1	1550823	MIB2	WGS	1	MIB2
chr1	1567474	MMP23B	WGS	1	MMP23B
